dev_loginname	proj_unixname	is_admin	position
davidpean	wikiauserprofil	1	
zelenkov	wixtrim	1	
terrydenham	wixgui	0	Developer
pid117	wixgui	0	Developer
dbright	wixgui	1	
binkley	wisk	1	
maciejr	wiser	1	
charisma	wisdom	1	
voldengen	wireframetool	0	Developer
tigeryan	wireframetool	0	Developer
vividev	wireframetool	0	Developer
shift4sms	wireframetool	0	Developer
rsilverberg	wireframetool	0	Developer
pmcelhaney	wireframetool	0	Developer
mikecraig	wireframetool	0	Developer
leeborkman	wireframetool	1	Project Manager
kroche	wireframetool	1	Developer
jabeynon	wireframetool	0	Developer
gavin_b	wireframetool	1	Developer
fusemonkey	wireframetool	0	Developer
ddearborn	wireframetool	0	Developer
darkstream	wireframetool	0	Developer
mkleehammer	wintypes	1	Developer
jdoran	wintypes	1	Support Technician
dkleehammer	wintypes	1	Developer
tzis	winsmledit	1	
sindhumn	winresourcer	1	
tindalos	winrash	0	
jakobsf	winrash	0	
dimi	winrash	0	Developer
chrismorgan	winrash	1	
aisotton	winpp	1	
mslomp	winports	1	
dobrosi	winmobgps	1	
whoknowswhat	winmceinstall	1	
bazis	winloader	1	
samisd	winlamp	0	Translator (I18N/L10N)
jdjs	winlamp	1	Developer
m_hagenaars	winio32	1	Developer
verticaltier	winguitest	0	Developer
szabgab	winguitest	1	Project Manager
pkaluski	winguitest	1	Project Manager
erngui	winguitest	1	Project Manager
duality72	winguitest	0	Developer
ctrondlp	winguitest	1	Developer
cecil_stock	winguitest	1	Project Manager
bello	winflib	1	
jfrankel	winfessor-trace	0	Developer
jdconley	winfessor-trace	1	
jfrankel	winfessor-test	0	
highway	winfessor-trace	0	Developer
jdconley	winfessor-test	1	
highway	winfessor-test	0	Developer
salazaar_user	windunitsconver	1	
windev	windev-stock	1	Project Manager
c_hannibal	windev-stock	1	Developer
ssalgado	winco	1	All-Hands Person
amadisoft	winblocker1free	1	
bazis	winavrloader	1	Unix Admin
maik1481	winautorun	1	
arkhee	winapivbclass	1	
schaps	winapidotnet	1	
brentoboy	winape-includes	1	
rgerhards	win32uxlib	1	
viglius	win32objc	1	
indeyets	win32objc	0	All-Hands Person
loqui	win32net	1	
dremon	win32gui	0	Developer
jtorjo	win32gui	1	Project Manager
bitsmaker	win32gui	0	Developer
vksharma	win32cpp	1	
solarangel	win32apilib	1	
hhokawa	win32apiexe	1	
mspgroup	win-platform	1	
wilsondotnet	wilsonwebform	1	Project Manager
jerdenn	wilsonwebform	1	Project Manager
pfred	wildweb	1	Developer
bruder	wildweb	1	Project Manager
wilbur-website	wilbur-rdf	1	
theran	wilbur-rdf	1	Developer
ora	wilbur-rdf	1	Developer
jkessler523	wikiwordimport	1	
jordanirwin	wikingine	1	
thoraxdk	wikiflashplugin	1	Developer
sansei	wikiflashplugin	1	Project Manager
develyoy	wikiengine	1	Project Manager
jkessler523	wikiautolinker	1	
nsillik	wii-linux	1	All-Hands Person
gauravps	wii-linux	0	No specific role
fintler	wii-linux	1	
chgu	wii-linux	0	Translator (I18N/L10N)
dvdw	widgetserver	1	
scarroll	widgedit	1	
yppflakrymzk	widestudio	0	Developer
tamaki	widestudio	1	Tester
hirabays	widestudio	1	Developer
gotow_sf	widestudio	1	Developer
skipoles	wicket	0	Developer
knopp	wicket	1	Developer
jonathanlocke	wicket	1	Developer
joco01	wicket	1	Developer
jdonnerstag	wicket	1	Developer
jannehietamaki	wicket	0	Developer
jan_blok	wicket	0	Developer
ivaynberg	wicket	1	Developer
gwynevans	wicket	1	Content Management
eelco12	wicket	1	Developer
dashorst	wicket	1	Content Management
billen	wicket	0	Developer
almaw	wicket	1	Developer
adouma	wicket	0	Developer
tomczarniecki	why	0	Developer
grahambrooks	why	1	
chenai	why	0	Developer
viscix	whuffie	1	
artemk	wholetrack	1	
vrkiran	whimbrel	1	Project Manager
guru_d	whitespaceide	1	Developer
buge	whitespaceide	1	
dominiknew	white-cliffs	1	
wynder	whisper3	0	Developer
mrdyg	whisper3	1	Project Manager
tasdev	whisper2	0	Developer
seagraves	whisper2	0	Developer
rentzsch	whisper2	0	Developer
psnively	whisper2	1	Developer
meeroh	whisper2	0	Developer
mclow	whisper2	0	Developer
jesjones	whisper2	1	Developer
jbx	whisper2	0	Developer
davepolaschek	whisper2	0	Developer
chrispage	whisper2	0	Developer
agrosam	whisper2	0	Developer
udoborkowski	whereis	1	
pennekamp	whereis	1	Developer
thejustinwalsh	wgois	0	Developer
swiftcoder	wgois	0	Developer
sinbad	wgois	0	
rzr	wgois	0	Developer
raicuandi	wgois	0	Developer
pjcast	wgois	1	
oistooldev	wgois	0	Developer
mysterycoder	wgois	0	Developer
kuranes	wgois	0	Developer
cyberloon	wgois	0	Developer
cdsnyder	wgois	0	Developer
gtokas	wgfdirectx	0	Developer
grendizerufo	wgfdirectx	1	
malbari	wfnm	1	Developer
schnelle	wfmopen	0	Developer
rmontag	wfmopen	0	Developer
mlipp	wfmopen	1	Project Manager
drmlipp	wfmopen	1	Project Manager
drcweidauer	wfmopen	0	Support Technician
derekberube	wfaforars	1	Project Manager
pyplia	wf-twister	0	Developer
norsch	wf-twister	0	Developer
mriou	wf-twister	1	Developer
docouto	wf-twister	0	Developer
chudikm	wf-twister	0	Developer
d0ubl3_h3lix	webappsecmovies	1	
hibrido	welvs	1	
killerhg	weblibforphp	1	
martensss	webformprocesso	1	
sfpbo	wexpand	1	
yavarin	weta	0	Developer
wetacvs	weta	0	Developer
n8chtschwaermer	weta	0	Developer
mascha1	weta	0	Project Manager
joa23	weta	1	Developer
h2g	weta	0	
bissi	weta	0	Developer
bauhardt	weta	0	Developer
werken	werken-xpath	1	Project Manager
jstrachan	werken-xpath	0	Developer
werken	werken-opt	1	
o_rossmueller	welofunc	1	
sburke	wefts	0	Developer
jonnymind	wefts	1	
dgp85	wefts	0	Developer
alexsilv	wefts	0	Developer
owenphelan	weeks	1	
plueschix	weeje	1	
jhereth	weeje	1	Tester
namcap	wedes	1	
dhcavalcanti	wedding-planner	1	
softtechee	webzip	0	Developer
hackou	webzip	0	Developer
elbrunito	webzip	1	Project Manager
alexh2084	webzip	0	User Interface (UI) Designer
hellofsteel	webzap	0	Developer
cartman	webzap	1	
cesschneider	webworks	1	
rickardoberg	webwork	1	Project Manager
baldree	webwork	1	Project Manager
webxprogramer	webx	1	
leonchiver	webx	1	
hgottfried	webx	0	Developer
srohatgi	webwiki	1	
myjsh	webwiki	1	Developer
blainekendall	webwalker	1	
kathyyabroudy	webunitproj	0	Developer
franzachermann	webunitproj	0	Developer
eosterm	webunitproj	0	Developer
dgan	webunitproj	1	Project Manager
democritus	webunitproj	0	Developer
purcell	webunit	1	
luisspranger	webumleditor	1	Project Manager
fassisrosa	webtst	1	
uselesspython	webtester	0	Web Designer
tweak187	webtester	0	Web Designer
rdbrinkhurst	webtester	0	Doc Writer
qakid	webtester	0	Tester
groff	webtester	1	Project Manager
flecou	webtester	0	Tester
sflexus	webstyler	1	
sushanth	webstore-app	1	
lucasjames	webstatsdotnet	1	
websoftcomp	websoftcomp	1	
viet	websignoff	1	Project Manager
sporco	websignoff	0	Web Designer
netaman	websignoff	1	Developer
sunny_y_m	websharp	1	
nhl_dotnet	websharp	1	Project Manager
foolnet	websharp	0	Project Manager
zamapunk	webservices	0	Web Designer
tiusender	webservices	0	Analysis / Design
rafabillor	webservices	0	Web Designer
petermichael85	webservices	0	Developer
mccool2880	webservices	0	Developer
heavywizard	webservices	1	Developer
prottier	webserviceedu	1	Developer
hansvandrunen	webserviceedu	1	Project Manager
gunduz	webserviceedu	1	Developer
fred_a99	webserviceedu	1	Developer
curlyx	webserviceedu	1	Tester
andre_hoekzema	webserviceedu	1	Developer
cpl	webpython	1	
brokendoor	webpm	1	Project Manager
tanus	webpanels	1	
markmmullin	webpagescraper	1	Project Manager
r_bajales	webonswing	0	Developer
paton	webonswing	1	
mssulik	webonswing	0	Developer
sensla	webmacroeditor	1	Developer
cvestol	webmacroeditor	1	
treebhoph	weblibraries	1	Project Manager
verdesci	webleaf	1	
why	webise	1	
vanug	webise	0	Developer
mahop-haus	webgi2007	1	
antocuni	webformkit	1	
nattygur	webfarmsession	1	
kwiateek	webengine	1	All-Hands Person
rebach	webelements	0	No specific role
netiquette	webelements	1	
varsted	webdialog	1	
disks86	webdevdotnet	1	
codec_zer0	webde	1	
seeplusplus	webcpp	1	
ken_vermette	webcomman	1	
yourgod	webapp	0	
q-webapp	webapp	0	Content Management
bantychick	webapp	1	
gary_kephart	webantrunner	1	
sgoryachev	web-its	0	Developer
jmhonor	web-its	0	Developer
dfayerma	web-its	1	Project Manager
claritza-abreu	web-its	0	Developer
pwh	weaver	1	Project Manager
rrfuzzy	weathernow	1	
octograve	weatherlib	1	
slackwar	wearucam	1	
thef0x	wdkeclipseplug	0	Developer
mccollough	wdkeclipseplug	0	Developer
emcdevprog	wdkeclipseplug	1	
aashishpatil	wdkeclipseplug	1	Developer
jibz	wcrt	1	Developer
parsley72	wcetools	1	
sdunand	wcelibcex	0	Developer
mloskot	wcelibcex	1	Project Manager
suf	wbxml-net	1	
mikesxf	wbhelpproject	0	Developer
hansjhaase	wbhelpproject	1	
scalp59	wazaabi	0	
olivier_moises	wazaabi	1	
naseer25	wavelet	0	
herbert	wavelet	1	
harin	wavelet	0	Developer
boytjie	wavelet	0	Developer
drtimguru	watsup	1	
brunns	watsup	1	Developer
auszero	watermelon	1	
czubin	watchloader	1	Project Manager
kurt_olsen	warserver	1	Developer
pmaupin	warbler	1	
splitsecond	wapache	1	Developer
chernyshevsky	wapache	1	Developer
paticubita	wanghy	0	Developer
alruiz15	wanghy	1	Developer
candera	wangdera	1	All-Hands Person
timfulmer	wagaef	1	
twh270	wafer	0	Developer
timp	wafer	0	Developer
samijarvensivu	wafer	0	
paton	wafer	0	Developer
